nombre_empleado;edad;departamento;salud;dinero;familia;amor
Pedro Rodríguez;26;Recursos Humanos;7%;2%;15%;20%
Laura López;64;Sistemas;24%;23%;7%;7%
Mariana Fernández;54;Logística;2%;20%;14%;23%
Juan López;38;Finanzas;14%;1%;8%;2%
Laura Pérez;28;Recursos Humanos;1%;20%;12%;10%
Camila López;31;Sistemas;17%;19%;14%;10%
Carlos Torres;45;Marketing;18%;1%;23%;12%
Sebastián Arango;52;Producción;11%;4%;15%;21%
Andrea López;42;Recursos Humanos;1%;3%;7%;20%
Sebastián Pérez;54;Marketing;21%;10%;19%;9%
Carlos Pérez;52;Ventas;13%;17%;20%;12%
Pedro Fernández;60;Finanzas;16%;3%;18%;24%
Mariana Rodríguez;55;Recursos Humanos;19%;4%;22%;25%
Juan Rodríguez;47;Producción;1%;9%;22%;23%
Sebastián Ramírez;63;Producción;5%;17%;4%;18%
Juan Ramírez;42;Recursos Humanos;10%;9%;12%;22%
Sebastián Torres;63;Compras;3%;7%;15%;4%
Valentina Fernández;36;Logística;7%;12%;21%;11%
Luis Arango;47;Logística;15%;14%;18%;22%
Juan Fernández;30;Compras;14%;10%;19%;10%
Laura Gómez;64;Producción;20%;1%;3%;17%
Valentina Sánchez;26;Producción;18%;3%;23%;22%
Valentina Arango;36;Compras;2%;13%;6%;5%
Laura López;64;Producción;7%;4%;21%;3%
Pedro Sánchez;20;Marketing;25%;25%;16%;18%
Camila Ramírez;41;Finanzas;22%;8%;18%;8%
Pedro Fernández;47;Marketing;5%;17%;19%;23%
Sebastián Arango;44;Producción;13%;23%;7%;17%
Valentina Gómez;19;Sistemas;2%;10%;17%;21%
Laura Sánchez;53;Marketing;2%;9%;25%;9%
Pedro Fernández;20;Finanzas;3%;22%;10%;6%
Valentina Fernández;18;Recursos Humanos;19%;16%;14%;20%
Carlos Sánchez;39;Recursos Humanos;21%;16%;16%;24%
Carlos Arango;38;Compras;24%;13%;18%;5%
Valentina López;47;Finanzas;9%;3%;14%;23%
Sebastián Fernández;26;Producción;23%;6%;19%;3%
Luis Pérez;48;Recursos Humanos;8%;25%;11%;19%
Carlos Fernández;62;Marketing;19%;19%;15%;25%
Carlos Rodríguez;19;Producción;12%;3%;13%;22%
Sebastián Sánchez;22;Marketing;1%;23%;25%;6%
Laura Sánchez;21;Ventas;3%;12%;20%;25%
Camila Pérez;31;Finanzas;4%;22%;5%;3%
Pedro Torres;29;Finanzas;20%;8%;22%;6%
Laura Sánchez;52;Marketing;9%;25%;23%;16%
Camila Arango;42;Finanzas;2%;5%;10%;8%
Laura Gómez;31;Producción;1%;20%;18%;22%
Pedro Pérez;64;Logística;16%;19%;24%;14%
Sebastián López;64;Marketing;23%;18%;11%;18%
Carlos Fernández;26;Finanzas;12%;13%;22%;15%
Camila López;57;Sistemas;24%;20%;7%;9%
Andrea Torres;35;Finanzas;9%;15%;6%;21%
Carlos Torres;49;Producción;1%;13%;1%;1%
Mariana Gómez;61;Finanzas;13%;9%;22%;20%
Luis López;21;Logística;19%;6%;2%;18%
Juan Fernández;47;Recursos Humanos;1%;22%;14%;2%
Mariana Ramírez;60;Finanzas;22%;4%;9%;14%
Luis López;28;Marketing;12%;18%;22%;9%
Camila Gómez;37;Logística;4%;8%;1%;21%
Carlos Gómez;28;Marketing;23%;13%;8%;10%
Juan Fernández;30;Ventas;13%;2%;18%;18%
Carlos Sánchez;35;Marketing;2%;25%;22%;5%
Mariana Martínez;32;Sistemas;13%;14%;10%;24%
Mariana Fernández;57;Marketing;16%;7%;21%;8%
Laura Gómez;31;Producción;3%;19%;9%;3%
Andrea Fernández;41;Compras;18%;18%;2%;25%
Sebastián Fernández;54;Ventas;18%;25%;19%;5%
Valentina Gómez;49;Ventas;15%;16%;18%;5%
Andrea Torres;56;Marketing;7%;4%;1%;19%
Laura Gómez;34;Logística;19%;7%;7%;11%
Laura Gómez;42;Recursos Humanos;10%;9%;10%;6%
Sebastián Pérez;31;Ventas;17%;20%;9%;21%
Camila Arango;37;Ventas;17%;4%;9%;25%
Camila Ramírez;32;Finanzas;23%;19%;18%;17%
Luis Gómez;34;Recursos Humanos;13%;24%;10%;3%
Pedro Sánchez;54;Sistemas;5%;24%;25%;1%
Camila López;57;Ventas;3%;10%;17%;7%
Laura Martínez;59;Recursos Humanos;17%;14%;4%;21%
Luis Arango;22;Logística;1%;6%;6%;15%
Luis Fernández;62;Finanzas;4%;16%;4%;10%
Laura Fernández;47;Sistemas;1%;1%;8%;15%
Carlos López;28;Compras;20%;4%;2%;13%
Luis Martínez;24;Ventas;11%;18%;24%;14%
Sebastián Pérez;61;Sistemas;16%;1%;17%;25%
Carlos Gómez;63;Marketing;8%;16%;3%;5%
Luis Martínez;65;Recursos Humanos;12%;22%;1%;10%
Luis Pérez;60;Marketing;24%;7%;4%;20%
Camila Arango;43;Finanzas;13%;11%;9%;12%
Sebastián Martínez;52;Logística;18%;9%;6%;23%
Pedro Ramírez;64;Recursos Humanos;6%;6%;15%;24%
Mariana Ramírez;60;Producción;9%;23%;10%;8%
Pedro Fernández;18;Sistemas;10%;15%;15%;15%
Juan Sánchez;23;Sistemas;15%;25%;23%;15%
Pedro Martínez;57;Ventas;15%;21%;9%;17%
Luis Gómez;45;Compras;2%;19%;24%;1%
Pedro Torres;34;Recursos Humanos;25%;3%;6%;13%
Valentina Torres;32;Sistemas;11%;24%;21%;4%
Carlos Ramírez;53;Compras;20%;14%;9%;16%
Mariana Torres;63;Producción;19%;20%;19%;5%
Sebastián Gómez;54;Compras;5%;19%;20%;10%
Andrea López;38;Recursos Humanos;11%;6%;4%;18%
Luis Sánchez;58;Logística;3%;13%;12%;15%
Juan Martínez;57;Sistemas;23%;25%;2%;25%
Sebastián Pérez;25;Logística;11%;25%;7%;20%
Carlos Fernández;36;Ventas;20%;18%;12%;4%
Mariana Torres;62;Compras;4%;21%;11%;17%
Valentina Torres;31;Finanzas;5%;7%;17%;15%
Sebastián Fernández;27;Recursos Humanos;25%;24%;21%;12%
Laura Arango;27;Producción;1%;22%;13%;23%
Luis Fernández;55;Recursos Humanos;12%;10%;25%;4%
Valentina Arango;50;Ventas;24%;8%;14%;6%
Juan Pérez;56;Sistemas;17%;22%;23%;17%
Luis Fernández;35;Finanzas;18%;5%;23%;18%
Luis Arango;61;Finanzas;22%;25%;23%;21%
Luis Pérez;52;Logística;19%;21%;1%;11%
Laura Fernández;23;Recursos Humanos;14%;20%;24%;24%
Pedro Torres;47;Compras;25%;23%;4%;16%
Carlos Gómez;54;Finanzas;7%;12%;13%;11%
Juan López;43;Recursos Humanos;24%;9%;4%;23%
Valentina Fernández;50;Producción;4%;3%;2%;16%
Luis Rodríguez;31;Finanzas;12%;15%;8%;18%
Mariana Ramírez;41;Sistemas;13%;12%;14%;14%
Sebastián Arango;31;Logística;7%;22%;1%;11%
Valentina Ramírez;44;Finanzas;13%;10%;8%;19%
Mariana Arango;26;Compras;16%;6%;12%;21%
Mariana Gómez;63;Finanzas;17%;1%;2%;18%
Carlos Sánchez;24;Marketing;24%;8%;21%;21%
Andrea Gómez;30;Sistemas;4%;21%;9%;25%
Andrea Torres;25;Finanzas;12%;16%;25%;20%
Camila Fernández;41;Logística;7%;5%;24%;3%
Carlos Fernández;30;Marketing;3%;22%;18%;3%
Carlos Torres;31;Recursos Humanos;18%;24%;25%;21%
Pedro Torres;58;Marketing;9%;4%;17%;13%
Pedro Martínez;20;Sistemas;18%;12%;5%;1%
Pedro Pérez;62;Compras;5%;19%;14%;1%
Laura Fernández;34;Ventas;19%;4%;15%;1%
Valentina Arango;24;Ventas;7%;20%;14%;23%
Carlos Pérez;45;Producción;25%;10%;11%;22%
Carlos Arango;19;Finanzas;24%;5%;2%;11%
Andrea Gómez;56;Ventas;15%;8%;1%;13%
Camila López;30;Producción;5%;3%;3%;11%
Sebastián Martínez;47;Logística;20%;8%;14%;6%
Luis Martínez;43;Marketing;20%;5%;2%;16%
Andrea Gómez;43;Producción;21%;2%;21%;2%
Camila Pérez;27;Ventas;2%;17%;7%;20%
Pedro Rodríguez;21;Logística;2%;13%;1%;12%
Luis Fernández;20;Logística;20%;19%;7%;2%
Andrea Arango;24;Finanzas;13%;5%;15%;24%
Pedro López;27;Compras;20%;24%;21%;7%
Pedro Gómez;51;Compras;19%;23%;7%;24%
Pedro Martínez;19;Recursos Humanos;11%;7%;12%;14%
Andrea Torres;53;Recursos Humanos;18%;11%;18%;3%
Juan López;23;Finanzas;2%;7%;24%;16%
Juan Pérez;52;Ventas;2%;19%;14%;9%
Camila Torres;32;Compras;20%;4%;24%;12%
Luis López;36;Compras;17%;4%;24%;3%
Camila Ramírez;18;Compras;13%;3%;15%;16%
Andrea Pérez;54;Finanzas;19%;3%;4%;22%
Luis Ramírez;27;Finanzas;25%;21%;18%;1%
Andrea Fernández;36;Ventas;9%;22%;5%;15%
Mariana Rodríguez;48;Logística;13%;16%;5%;23%
Sebastián Fernández;55;Producción;24%;3%;13%;4%
Valentina Gómez;64;Ventas;13%;13%;24%;16%
Andrea Arango;30;Recursos Humanos;3%;15%;25%;3%
Sebastián Ramírez;36;Sistemas;8%;19%;16%;17%
Pedro Rodríguez;55;Logística;8%;25%;4%;7%
Pedro Rodríguez;28;Sistemas;17%;11%;5%;22%
Valentina López;55;Compras;13%;19%;1%;7%
Juan Pérez;61;Finanzas;16%;4%;3%;1%
Juan Gómez;30;Ventas;17%;23%;21%;6%
Sebastián Torres;59;Compras;16%;9%;1%;25%
Mariana Gómez;52;Compras;24%;8%;24%;9%
Camila Rodríguez;29;Finanzas;18%;17%;12%;8%
Andrea Arango;43;Compras;5%;23%;13%;18%
Luis Arango;64;Finanzas;1%;10%;24%;19%
Carlos Pérez;24;Recursos Humanos;20%;5%;3%;8%
Mariana Torres;47;Ventas;9%;20%;24%;11%
Carlos Torres;43;Ventas;15%;6%;16%;18%
Juan López;51;Recursos Humanos;9%;18%;11%;21%
Juan Martínez;42;Sistemas;15%;25%;21%;12%
Carlos Fernández;28;Logística;11%;11%;7%;16%
Laura López;19;Sistemas;20%;24%;14%;8%
Sebastián Martínez;26;Compras;9%;23%;25%;19%
Sebastián Pérez;27;Marketing;23%;22%;13%;7%
Carlos Ramírez;47;Finanzas;3%;1%;8%;5%
Camila Pérez;59;Ventas;24%;12%;22%;10%
Laura Gómez;28;Logística;18%;21%;15%;7%
Sebastián Martínez;63;Ventas;11%;16%;12%;7%
Camila Pérez;56;Sistemas;1%;4%;18%;25%
Sebastián Torres;50;Finanzas;19%;3%;14%;23%
Luis López;24;Finanzas;2%;17%;10%;2%
Juan Martínez;60;Recursos Humanos;1%;18%;9%;5%
Laura Ramírez;36;Marketing;25%;19%;2%;14%
Carlos López;18;Recursos Humanos;5%;19%;12%;9%
Laura Sánchez;60;Recursos Humanos;1%;4%;6%;9%
Camila Arango;25;Producción;25%;18%;7%;1%
Valentina Arango;57;Finanzas;23%;7%;17%;21%
Valentina López;19;Ventas;13%;1%;20%;18%
Mariana Gómez;25;Finanzas;13%;16%;2%;4%
Sebastián Pérez;38;Compras;13%;23%;2%;5%
Laura Fernández;37;Sistemas;21%;10%;20%;14%
Pedro Arango;44;Logística;22%;6%;12%;11%
Luis Gómez;37;Compras;5%;2%;6%;11%
Carlos Gómez;35;Marketing;6%;23%;10%;7%
Mariana Sánchez;40;Sistemas;13%;9%;3%;15%
Andrea Rodríguez;41;Ventas;7%;4%;20%;24%
Juan Rodríguez;61;Finanzas;10%;5%;2%;21%
Laura Torres;60;Marketing;4%;7%;8%;5%
Mariana Sánchez;60;Producción;4%;24%;8%;17%
Laura Rodríguez;41;Sistemas;16%;23%;1%;8%
Laura Pérez;34;Logística;19%;22%;19%;15%
Laura Arango;21;Logística;13%;13%;3%;21%
Juan Sánchez;57;Logística;12%;13%;8%;20%
Pedro Martínez;34;Finanzas;22%;16%;11%;16%
Laura Torres;43;Sistemas;12%;2%;16%;16%
Laura Ramírez;63;Recursos Humanos;19%;1%;6%;21%
Carlos Pérez;65;Ventas;11%;22%;25%;3%
Sebastián Fernández;58;Recursos Humanos;3%;7%;2%;24%
Valentina Pérez;56;Logística;13%;14%;14%;14%
Valentina Pérez;20;Finanzas;15%;13%;20%;9%
Laura López;20;Producción;17%;1%;5%;22%
Pedro Sánchez;27;Marketing;2%;6%;22%;17%
Mariana Ramírez;42;Sistemas;4%;5%;23%;14%
Sebastián Torres;64;Ventas;23%;19%;25%;14%
Sebastián Rodríguez;37;Compras;5%;9%;15%;16%
Valentina Martínez;33;Compras;22%;17%;16%;7%
Sebastián Martínez;56;Marketing;20%;2%;15%;6%
Mariana Torres;24;Logística;19%;13%;2%;1%
Carlos Ramírez;22;Sistemas;6%;12%;10%;8%
Laura Arango;56;Sistemas;20%;13%;1%;21%
Juan Torres;44;Producción;23%;16%;16%;20%
Carlos Rodríguez;62;Sistemas;3%;2%;22%;16%
Valentina Gómez;25;Producción;18%;19%;2%;6%
Laura Arango;41;Compras;1%;18%;11%;12%
Mariana Fernández;40;Finanzas;9%;22%;17%;5%
Juan Ramírez;20;Recursos Humanos;6%;23%;22%;23%
Camila Rodríguez;53;Marketing;8%;11%;10%;17%
Pedro Gómez;33;Producción;16%;2%;9%;18%
Laura Pérez;48;Logística;18%;15%;14%;5%
Mariana Martínez;52;Compras;23%;8%;15%;24%
Laura Rodríguez;41;Recursos Humanos;16%;25%;16%;7%
Camila Arango;53;Producción;7%;16%;6%;5%
Carlos Rodríguez;28;Finanzas;22%;11%;5%;19%
Sebastián Martínez;27;Marketing;25%;25%;1%;5%
Pedro Martínez;40;Marketing;1%;16%;12%;7%
Mariana Martínez;58;Producción;9%;7%;7%;19%
Carlos López;62;Ventas;7%;21%;5%;2%
Mariana Sánchez;35;Logística;10%;8%;9%;9%
Valentina Fernández;63;Producción;23%;16%;5%;4%
Pedro Rodríguez;26;Compras;11%;21%;9%;20%
Andrea Pérez;26;Marketing;9%;22%;8%;10%
Sebastián Fernández;27;Marketing;7%;6%;14%;25%
Valentina Gómez;21;Producción;23%;7%;4%;6%
Luis Pérez;40;Producción;5%;2%;14%;16%
Sebastián Arango;41;Ventas;13%;11%;23%;19%
Juan Martínez;28;Recursos Humanos;7%;25%;25%;11%
Mariana Pérez;49;Producción;18%;9%;22%;23%
Carlos Fernández;47;Ventas;12%;9%;8%;1%
Pedro Gómez;34;Sistemas;19%;19%;25%;4%
Mariana López;19;Finanzas;15%;22%;11%;16%
Sebastián Fernández;60;Logística;7%;11%;21%;20%
Carlos Rodríguez;63;Marketing;20%;5%;2%;18%
Mariana Arango;25;Logística;21%;24%;19%;14%
Andrea López;59;Finanzas;1%;3%;25%;19%
Juan Arango;42;Recursos Humanos;7%;4%;20%;6%
Juan Martínez;20;Sistemas;12%;18%;15%;19%
Pedro Torres;61;Recursos Humanos;11%;21%;25%;25%
Carlos Torres;47;Finanzas;15%;14%;2%;2%
Laura Torres;55;Finanzas;24%;4%;7%;23%
Mariana Fernández;49;Ventas;13%;18%;7%;7%
Mariana Torres;34;Finanzas;14%;20%;1%;21%
Juan Sánchez;42;Logística;7%;1%;25%;20%
Luis Arango;18;Sistemas;19%;17%;20%;15%
Mariana Arango;61;Compras;15%;3%;7%;23%
Laura Fernández;21;Sistemas;22%;18%;3%;17%
Juan Ramírez;39;Recursos Humanos;1%;12%;19%;6%
Mariana Torres;34;Recursos Humanos;12%;8%;8%;14%
Mariana Martínez;18;Logística;13%;22%;14%;6%
Camila Gómez;38;Compras;10%;7%;11%;18%
Laura López;43;Marketing;19%;5%;7%;10%
Luis Ramírez;42;Sistemas;16%;24%;15%;21%
Luis Fernández;56;Ventas;6%;2%;10%;25%
Mariana Sánchez;62;Finanzas;4%;19%;3%;19%
Mariana Martínez;55;Finanzas;19%;25%;1%;21%
Mariana Torres;38;Producción;8%;25%;12%;23%
Sebastián Gómez;18;Logística;20%;5%;6%;16%
Juan Fernández;54;Sistemas;24%;24%;25%;10%
Camila Torres;45;Recursos Humanos;2%;23%;12%;8%
Mariana Ramírez;52;Finanzas;12%;6%;15%;22%
Mariana Torres;43;Finanzas;5%;10%;25%;9%
Camila López;35;Sistemas;15%;19%;12%;25%
Pedro Arango;34;Logística;1%;11%;8%;16%
Carlos Sánchez;19;Finanzas;6%;10%;7%;24%
Laura Sánchez;26;Compras;20%;9%;25%;20%
Juan Martínez;53;Compras;23%;20%;11%;23%
Laura Arango;55;Finanzas;13%;19%;10%;10%
Juan Martínez;47;Marketing;3%;1%;24%;15%
Pedro Arango;42;Recursos Humanos;21%;7%;7%;15%
Valentina Ramírez;53;Ventas;18%;25%;22%;17%
Andrea Rodríguez;45;Marketing;4%;19%;12%;8%
Valentina Arango;35;Marketing;3%;1%;17%;2%
Carlos Pérez;39;Compras;8%;25%;22%;25%
Andrea Arango;34;Recursos Humanos;17%;5%;12%;11%
Valentina Arango;58;Compras;3%;16%;1%;12%
Juan Rodríguez;61;Producción;2%;7%;6%;13%
Juan Sánchez;26;Marketing;10%;5%;24%;17%
Valentina Sánchez;31;Recursos Humanos;10%;22%;11%;22%
Valentina Rodríguez;20;Producción;2%;22%;21%;6%
Camila Fernández;19;Ventas;17%;4%;23%;4%
Pedro López;45;Sistemas;21%;11%;5%;19%
Juan Martínez;51;Sistemas;22%;6%;20%;6%
Valentina Fernández;63;Producción;3%;2%;19%;8%
Sebastián Torres;30;Sistemas;4%;21%;23%;2%
Laura Arango;41;Logística;9%;7%;14%;1%
Valentina Pérez;40;Logística;24%;16%;1%;1%
Mariana Ramírez;51;Sistemas;13%;18%;19%;10%
Pedro Pérez;28;Recursos Humanos;23%;5%;2%;20%
Mariana Torres;25;Sistemas;7%;1%;18%;17%
Andrea Rodríguez;49;Recursos Humanos;14%;11%;11%;11%
Pedro Torres;36;Ventas;12%;5%;7%;19%
Pedro Gómez;46;Producción;23%;21%;16%;10%
Sebastián López;31;Compras;1%;24%;21%;12%
Valentina Rodríguez;57;Producción;22%;11%;7%;9%
Andrea Sánchez;40;Producción;8%;6%;6%;3%
Camila Martínez;42;Recursos Humanos;15%;12%;10%;5%
Valentina Ramírez;24;Producción;22%;12%;15%;23%
Camila Torres;26;Marketing;5%;5%;19%;17%
Mariana Pérez;42;Producción;2%;6%;21%;7%
Laura Rodríguez;25;Producción;11%;8%;5%;23%
Mariana Fernández;20;Marketing;16%;16%;5%;16%
Camila Martínez;57;Logística;7%;7%;12%;15%
Sebastián Torres;34;Marketing;14%;13%;15%;20%
Juan Rodríguez;36;Logística;9%;7%;9%;7%
Pedro Sánchez;27;Compras;2%;15%;15%;1%
Pedro Arango;40;Ventas;10%;13%;3%;4%
Pedro Pérez;54;Producción;6%;19%;23%;20%
Carlos López;25;Marketing;12%;14%;21%;20%
Pedro Ramírez;29;Sistemas;6%;21%;11%;7%
Sebastián Fernández;22;Compras;6%;10%;7%;13%
Camila Rodríguez;45;Compras;25%;9%;11%;14%
Mariana Torres;28;Finanzas;13%;21%;21%;19%
Pedro Gómez;26;Recursos Humanos;22%;25%;11%;13%
Valentina Gómez;36;Ventas;6%;4%;1%;25%
Camila Ramírez;33;Logística;2%;1%;14%;24%
Laura Rodríguez;51;Recursos Humanos;14%;19%;3%;19%
Pedro Fernández;25;Finanzas;7%;12%;20%;24%
Mariana Sánchez;43;Marketing;12%;20%;18%;2%
Andrea Fernández;29;Sistemas;25%;16%;10%;15%
Camila Martínez;33;Ventas;10%;10%;13%;17%
Valentina Martínez;37;Compras;23%;15%;20%;4%
Juan Ramírez;39;Ventas;4%;3%;4%;19%
Laura Arango;32;Producción;13%;22%;11%;11%
Luis Gómez;26;Logística;1%;11%;16%;8%
Carlos Gómez;30;Compras;9%;10%;4%;19%
Laura Rodríguez;64;Marketing;22%;24%;7%;24%
Carlos Arango;22;Marketing;8%;16%;23%;6%
Andrea Fernández;19;Marketing;7%;21%;22%;19%
Sebastián Torres;46;Compras;3%;20%;16%;20%
Laura Arango;65;Logística;20%;13%;5%;13%
Valentina Gómez;55;Logística;5%;4%;2%;11%
Luis Torres;34;Sistemas;13%;23%;8%;24%
Laura Torres;51;Compras;3%;4%;1%;24%
Juan Torres;38;Marketing;6%;15%;6%;19%
Sebastián Arango;61;Ventas;1%;6%;18%;12%
Luis Arango;43;Finanzas;11%;24%;11%;17%
Carlos Torres;31;Marketing;22%;12%;17%;20%
Valentina Ramírez;57;Ventas;13%;10%;18%;18%
Carlos Arango;48;Marketing;6%;11%;13%;15%
Pedro Gómez;53;Recursos Humanos;13%;10%;7%;10%
Camila Sánchez;19;Marketing;3%;18%;2%;10%
Carlos Gómez;21;Compras;8%;24%;18%;2%
Pedro López;24;Producción;6%;11%;23%;5%
Sebastián Ramírez;64;Producción;17%;19%;7%;22%
Pedro Torres;38;Sistemas;10%;7%;1%;22%
Pedro Sánchez;38;Compras;23%;13%;22%;22%
Pedro Fernández;40;Compras;23%;6%;1%;7%
Mariana Fernández;24;Compras;8%;19%;12%;25%
Andrea Martínez;35;Producción;9%;17%;6%;15%
Luis Martínez;57;Logística;5%;4%;17%;21%
Andrea López;54;Recursos Humanos;19%;11%;19%;5%
Pedro Torres;62;Logística;10%;12%;15%;11%
Andrea Martínez;35;Compras;6%;15%;13%;25%
Juan Pérez;63;Ventas;3%;9%;17%;6%
Laura Martínez;62;Compras;16%;14%;12%;16%
Mariana Torres;64;Logística;22%;14%;24%;12%
Valentina Sánchez;27;Marketing;14%;10%;10%;4%
Valentina Fernández;60;Logística;7%;20%;20%;9%
Sebastián Torres;54;Recursos Humanos;18%;23%;21%;16%
Andrea Ramírez;63;Recursos Humanos;7%;17%;17%;19%
Camila Martínez;50;Finanzas;17%;8%;1%;6%
Andrea Fernández;38;Marketing;13%;4%;22%;19%
Camila Ramírez;26;Logística;12%;6%;12%;13%
Andrea Torres;55;Recursos Humanos;2%;3%;5%;23%
Sebastián Martínez;32;Compras;25%;24%;9%;6%
Mariana Ramírez;42;Recursos Humanos;9%;19%;13%;15%
Pedro Arango;55;Finanzas;6%;24%;13%;9%
Carlos Arango;52;Producción;7%;6%;24%;24%
Juan López;39;Ventas;14%;20%;11%;24%
Camila Torres;59;Logística;20%;24%;16%;25%
Camila Ramírez;35;Compras;11%;15%;25%;11%
Laura Sánchez;60;Ventas;4%;1%;24%;13%
Sebastián Martínez;23;Marketing;23%;13%;17%;25%
Laura Gómez;55;Producción;3%;9%;15%;12%
Sebastián Gómez;58;Ventas;17%;5%;5%;1%
Mariana Pérez;29;Producción;22%;23%;2%;4%
Valentina Torres;49;Ventas;13%;7%;4%;4%
Andrea Sánchez;65;Compras;22%;14%;11%;13%
Juan Rodríguez;65;Producción;4%;22%;18%;13%
Luis Martínez;21;Marketing;15%;15%;5%;24%
Pedro Gómez;60;Recursos Humanos;18%;4%;19%;18%
Valentina Fernández;22;Producción;2%;4%;9%;11%
Mariana Martínez;23;Marketing;7%;3%;13%;5%
Pedro Arango;43;Finanzas;4%;20%;16%;9%
Valentina López;27;Sistemas;9%;16%;25%;25%
Luis Gómez;61;Ventas;22%;15%;2%;3%
Mariana Rodríguez;25;Finanzas;18%;2%;1%;22%
Valentina Fernández;25;Logística;5%;1%;15%;25%
Carlos Fernández;24;Finanzas;13%;20%;9%;16%
Juan Rodríguez;62;Marketing;25%;13%;18%;9%
Mariana López;26;Compras;25%;21%;3%;3%
Carlos Pérez;43;Logística;25%;4%;2%;23%
Juan Rodríguez;37;Recursos Humanos;10%;10%;7%;11%
Camila Gómez;65;Sistemas;18%;6%;23%;6%
Mariana Pérez;64;Recursos Humanos;11%;22%;25%;24%
Pedro Rodríguez;34;Producción;9%;15%;9%;10%
Carlos Sánchez;22;Producción;9%;14%;9%;9%
Valentina Fernández;26;Ventas;18%;13%;6%;25%
Valentina Martínez;27;Finanzas;3%;13%;1%;12%
Laura Rodríguez;30;Logística;23%;8%;9%;1%
Pedro Sánchez;21;Sistemas;9%;16%;21%;9%
Laura Arango;34;Ventas;10%;18%;19%;23%
Juan Sánchez;21;Marketing;15%;14%;14%;11%
Valentina Torres;26;Finanzas;8%;23%;20%;22%
Mariana Pérez;18;Producción;3%;2%;23%;3%
Sebastián Pérez;26;Sistemas;6%;15%;12%;2%
Carlos Arango;20;Logística;14%;8%;6%;1%
Carlos Arango;45;Logística;9%;3%;2%;21%
Carlos López;64;Finanzas;17%;8%;17%;16%
Pedro Fernández;39;Marketing;9%;9%;12%;9%
Andrea Torres;45;Ventas;4%;12%;18%;21%
Juan López;46;Compras;2%;3%;17%;13%
Mariana Rodríguez;64;Marketing;15%;12%;20%;6%
Luis Arango;40;Producción;6%;11%;17%;19%
Juan Arango;29;Recursos Humanos;4%;7%;23%;2%
Camila Arango;18;Sistemas;22%;11%;18%;24%
Pedro Rodríguez;52;Ventas;11%;12%;2%;19%
Mariana Rodríguez;34;Sistemas;14%;5%;18%;1%
Juan Pérez;30;Marketing;15%;18%;11%;1%
Pedro Gómez;33;Marketing;6%;22%;8%;13%
Pedro Arango;33;Finanzas;7%;14%;5%;19%
Juan Rodríguez;35;Logística;6%;14%;19%;8%
Carlos Gómez;55;Ventas;24%;13%;20%;2%
Valentina Torres;41;Sistemas;20%;5%;16%;11%
Mariana López;51;Recursos Humanos;8%;25%;11%;13%
Laura Martínez;64;Logística;9%;9%;7%;24%
Mariana Pérez;57;Logística;24%;3%;17%;7%
Carlos López;35;Marketing;5%;22%;24%;1%
Andrea Torres;21;Compras;15%;5%;18%;9%
Pedro López;25;Sistemas;19%;9%;10%;6%
Carlos Fernández;31;Marketing;14%;8%;17%;17%
Andrea Ramírez;60;Compras;6%;21%;6%;4%
Camila Ramírez;27;Ventas;24%;11%;23%;2%
Juan Gómez;63;Logística;10%;9%;11%;6%
Valentina López;26;Compras;13%;13%;17%;13%
Pedro Sánchez;41;Recursos Humanos;18%;12%;17%;18%
Andrea Rodríguez;36;Producción;10%;25%;9%;1%
Pedro Fernández;33;Ventas;4%;18%;11%;25%
Camila Arango;58;Producción;24%;13%;14%;12%
Camila Gómez;42;Producción;10%;7%;5%;10%
Camila Pérez;38;Logística;6%;1%;4%;22%
Andrea Fernández;59;Recursos Humanos;22%;20%;23%;6%
Luis Pérez;56;Recursos Humanos;19%;13%;25%;14%
Andrea Ramírez;57;Marketing;10%;16%;12%;21%
Mariana Gómez;53;Finanzas;15%;15%;10%;10%
Mariana Pérez;62;Recursos Humanos;10%;5%;23%;12%
Andrea Fernández;27;Ventas;16%;19%;23%;2%
Sebastián Pérez;37;Logística;7%;14%;14%;8%
Carlos Fernández;27;Recursos Humanos;23%;11%;10%;21%
Valentina Rodríguez;47;Compras;5%;3%;16%;2%
Sebastián Gómez;33;Producción;19%;22%;8%;21%
Pedro Ramírez;48;Compras;5%;2%;3%;5%
Valentina Arango;49;Finanzas;18%;1%;21%;16%
Juan Sánchez;53;Compras;24%;22%;18%;25%
Valentina Gómez;43;Finanzas;25%;18%;12%;14%
Pedro Martínez;22;Sistemas;2%;19%;16%;11%
Andrea Rodríguez;22;Producción;23%;14%;21%;7%
Carlos Ramírez;61;Sistemas;23%;22%;23%;4%
Carlos López;60;Marketing;21%;15%;16%;11%
Mariana Pérez;51;Logística;2%;5%;14%;24%
Laura Torres;38;Finanzas;24%;24%;4%;14%
Laura Pérez;59;Producción;17%;8%;7%;13%
Pedro Martínez;59;Compras;15%;15%;1%;13%
Valentina Fernández;21;Compras;4%;13%;24%;19%
Andrea Arango;47;Compras;10%;9%;3%;23%
Mariana Martínez;63;Marketing;4%;25%;25%;10%
Camila López;56;Compras;16%;10%;22%;18%
Carlos Torres;25;Sistemas;21%;13%;19%;14%
Camila Arango;37;Marketing;21%;17%;5%;16%
Andrea Ramírez;61;Producción;21%;19%;1%;21%
Luis Fernández;31;Recursos Humanos;19%;17%;8%;14%
Andrea Rodríguez;60;Recursos Humanos;6%;12%;24%;19%
